,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
81,Lithuania,0.05232583631652201,0.001775599708801647,0.030004011405872732,0.020546225201847634,0.34298915885033604,3.67,28.4,1.0,3.0920800643274413,7.280248699916762,10.372328764244203,2759.6310000000008,2
82,Luxembourg,0.6296591038279763,0.016403293651438125,0.576551410520845,0.03670439965569323,0.12827506093587793,4.42,24.2,1.0,2.6357331947444487,3.8505513780390737,6.486284572783522,615.7300000000002,2
83,Madagascar,0.0007156283517269595,0.0,0.0003744998110073726,0.0003411285407195869,0.4059940830566272,3.94,4.5,44.4,0.4030915738061632,0.5056933982654208,0.908784972071584,26969.306,0
84,Malawi,0.00030061063144927236,1.610414097049673e-05,7.515265786231809e-05,0.00020935383261645754,0.2273489621576305,3.94,4.7,17.5,0.2746990686277431,0.5061960950786337,0.7808951637063766,18628.749,0
85,Malaysia,0.02062298439592199,0.00033803040139013127,0.015427331930110713,0.004857622064421145,0.2609423475385212,16.74,15.3,2.5,1.0656251908267689,1.1383611954370023,2.203986386263771,31949.789,1
86,Maldives,0.14878794327977599,0.0005650175061257316,0.005461835892548739,0.1427610898811015,0.16490514246770893,9.19,7.9,10.3,0.8364142482347913,0.7652220424629491,1.6016362906977406,530.9569999999999,1
87,Mali,0.0035201912216706634,0.00018821831676562795,0.0015159204971934358,0.0018160524077115996,0.2680241801876268,2.42,7.1,6.3,0.3121626218465611,0.3967489507973412,0.7089115726439025,19658.023,0
88,Malta,0.11126829966142647,0.0011353908128716988,0.09696237541924306,0.013170533429311702,0.16871066478665311,8.83,31.0,1.0,3.422522066320448,4.940085426804759,8.36260749312521,440.37699999999995,2
89,Mauritania,0.00017676831286577227,2.2096039108221534e-05,0.0001325762346493292,2.2096039108221534e-05,0.2323471579139895,2.42,11.3,10.4,0.3769584271862594,0.5828935116748841,0.9598519388611436,4525.698,0
90,Mauritius,0.0261485267825498,0.000787606228390054,0.025203399308481728,0.00015752124567801082,0.2246441750471266,22.02,11.5,6.5,1.49109611158805,2.4192900517457288,3.91038616333378,1269.67,1
91,Mexico,0.026227600435817126,0.0026282469892795817,0.017106728987186876,0.006492624459350664,0.15278290321440902,13.06,28.4,3.6,1.2400865686396645,1.6319799073692258,2.8720664760088903,127575.52900000001,1
92,Mongolia,0.001302258550412599,0.0,0.0004340861834708663,0.0008681723669417326,0.4600425292818433,4.82,19.6,13.4,0.5208414078531153,0.8589325324649957,1.3797739403181108,3225.166,0
93,Montenegro,0.05159334254794675,0.0012739096925418953,0.04363140696955991,0.006688025885844948,0.3873045627272448,10.08,24.9,1.0,2.2970184143646053,3.698956031006962,5.995974445371567,627.9880000000003,1
94,Morocco,0.01620431541483349,0.0005099835308221707,0.006747685319104097,0.00894664656490722,0.4191458765938152,7.14,25.6,3.4,1.0658189680203587,1.5113636120609026,2.5771825800812613,36471.766,1
95,Mozambique,0.0002865042376446612,0.0,0.00011196717333239634,0.00017453706431226488,0.3299419400002713,3.3,6.0,27.9,0.2841628064611513,0.5690138817230812,0.8531766881842324,30366.042999999998,0
96,Namibia,0.000641404933366045,0.0,0.0004008780833537781,0.00024052685001226687,0.2438105764034017,3.94,15.0,27.3,0.4319862226220314,0.834307467075883,1.2662936896979144,2494.524,0
97,Nepal,0.0003844982202101702,0.0,0.00010835858933195704,0.0002761396308782131,0.26079727028372,7.26,3.8,8.7,0.8566725209433558,1.0473626655374066,1.9040351864807632,28608.715000000004,0
98,New Zealand,0.03123522128711691,0.0004390492952004385,0.02866364684380006,0.0021325251481164155,0.1287972514137827,8.08,32.0,1.0,2.9707329739819377,3.7584501308994103,6.729183104881347,4783.062000000001,2
99,Nicaragua,0.000244442634889939,7.638832340310593e-05,0.00010694365276434832,6.111065872248475e-05,0.13701563380350498,11.47,21.8,17.0,0.8753490755408714,1.2634170360933306,2.138766111634202,6545.502999999999,1
100,Niger,0.0034962456541988256,0.00019304423857539527,0.0026468510044670864,0.000656350411156344,0.23833880993116044,2.42,4.7,16.5,0.2925392391371541,0.3728113234087717,0.6653505625459258,23310.719,0
101,Nigeria,0.002065548157991574,6.369312556562791e-05,0.0003707138948936937,0.0016311411375322525,0.1810133494627609,2.42,7.8,13.4,0.30638334046986604,0.3495493659117964,0.6559327063816625,200963.60300000003,0
102,North Macedonia,0.07785134137573207,0.0043677386345201095,0.0533728061712787,0.020110796569933254,0.32268814004519314,10.08,23.9,3.2,2.1062099643957306,2.99098901921709,5.09719898361282,2083.458,1
103,Norway,0.15057096681656834,0.004071495460282562,0.0005949217110915158,0.14590454964519425,0.11431573915849705,5.31,25.0,1.0,3.0890380283253385,4.240825052301984,7.329863080627322,5378.859,2
104,Oman,0.0648041243081396,0.00034170909219552524,0.021467371203812997,0.04299504401213109,0.2663415166895656,12.61,22.9,6.8,0.4468750904524067,0.4608248616279183,0.9076999520803248,4974.991999999998,1
105,Pakistan,0.013268976029065632,0.0002936758336054337,0.0036058405418629424,0.009369459653597256,0.4230313480473463,8.35,7.8,20.3,0.7663466260389239,0.7197505221946504,1.4860971482335743,216565.317,0
106,Panama,0.19503395785646324,0.00558114561844745,0.10599466847524039,0.08345814376277538,0.12834608716718346,8.33,22.5,10.0,1.5585761249423042,1.91287290059438,3.4714490255366837,4246.440000000001,2
107,Paraguay,0.009780486977402247,0.00014195191549205006,0.0022002546901267756,0.007438280371783422,0.19912787423864745,8.27,19.0,10.7,1.0818297431564623,1.331977408636553,2.4138071517930157,7044.639000000001,1
108,Peru,0.19998177817343843,0.005579742299571135,0.06227533770513627,0.13212669816873102,0.08575458413505145,5.95,19.1,9.7,1.471612430484685,1.8088146517265733,3.280427082211259,32510.462000000003,2
109,Philippines,0.009813477154326926,0.0006511487197592984,0.0017037158264156646,0.0074586126081519636,0.3704368854041117,7.07,6.0,13.3,0.6083042439117271,1.0692925644680242,1.6775968083797512,108116.622,0
110,Poland,0.041308843426022604,0.0020719086377501594,0.01435027676872308,0.024886658019549368,0.22733091915806444,5.91,25.6,1.0,2.4330040423861305,4.800475066215958,7.233479108602086,37887.771,2
111,Portugal,0.2679984643334,0.01101095639054982,0.024437282433378334,0.23255022550947185,0.1278421969422977,9.85,23.2,1.0,4.204718517514558,6.677568100222781,10.882286617737341,10226.178000000002,2
112,Romania,0.07813759549791945,0.004849064977367415,0.03569407574394417,0.03759445477660786,0.3709463311692453,9.74,24.5,1.0,2.8647284384182687,5.076511428765892,7.9412398671841595,19364.558,1
113,Russia,0.13619861651557327,0.0012524656847024923,0.02187941696385591,0.11306673386701487,0.4312974886020841,6.18,25.7,1.0,1.6250471474151424,4.51644610154117,6.141493248956312,145872.26,1
114,Rwanda,0.002217481387807559,0.0,0.0011087406939037795,0.0011087406939037795,0.1913751082014245,4.28,4.8,36.8,0.313274683062513,0.5164830935259206,0.8297577765884334,12626.937999999998,0
115,Saint Vincent and the Grenadines,0.015371678135144175,0.0,0.008137947248017504,0.007233730887126672,0.2526754042434364,11.62,23.8,5.7,1.9223639832539128,2.105919904514752,4.028283887768666,110.593,1
116,Sao Tome and Principe,0.09672259216547004,0.0023250623116699526,0.001860049849335962,0.09253748000446411,0.27011344425892736,2.42,10.6,7.0,0.3720099698671925,0.6170715375172053,0.9890815073843978,215.048,0
117,Saudi Arabia,0.10836765126393375,0.0006974329128629946,0.029601504050553215,0.07806871430051755,0.2595379835108008,17.72,35.0,7.1,0.5198851692758683,0.5434840812688517,1.06336925054472,34268.528999999995,1
118,Senegal,0.010026777755673325,0.00010431776122793543,0.0039456659099742645,0.005976794084471125,0.24121914878972806,2.42,7.4,11.3,0.3869698034444744,0.5543875375375193,0.9413573409819936,16296.361999999996,0
119,Serbia,0.11436091264385743,0.002450916688439927,0.031143741361943637,0.08076625459347388,0.4394150345307015,10.08,23.5,5.7,2.7403186510884128,4.215941491716816,6.956260142805228,8772.227999999997,1
120,Sierra Leone,0.003724462951000787,0.00023037915160829605,0.000742332821848954,0.0027517509775435364,0.3257210201683648,2.42,7.5,25.6,0.3459782903486365,0.5099954474519874,0.855973737800624,7813.206999999999,0
121,Slovakia,0.026662943017167637,0.00047645121542705057,0.01684071796067152,0.009345773841069068,0.28795901823866543,7.29,22.4,3.4,2.048648601102582,4.06557654628577,6.114225147388352,5457.012,1
122,Slovenia,0.0699491112999085,0.004858913508453066,0.012267553907480513,0.05282264388397492,0.15349336396255905,7.25,22.5,1.0,3.404270263353113,5.800099487456786,9.204369750809898,2078.654,2
